zipcode,room_type,accommodates,bedrooms,bathrooms,beds,minimum_nights,number_of_reviews,price,price_bin
94117,Private room,2,1.0,0.5,1.0,1,116,120.0,bin 100-150
94111,Shared room,3,1.0,1.0,8.0,1,367,45.0,bin 0-50
94110,Entire home/apt,4,1.0,1.0,1.0,30,18,135.0,bin 100-150
94114,Entire home/apt,4,2.0,1.0,2.0,30,79,125.0,bin 100-150
94122,Entire home/apt,2,1.0,1.0,2.0,30,113,99.0,bin 50-100
94133,Private room,3,1.0,1.0,2.0,2,226,99.0,bin 50-100
94116,Entire home/apt,4,1.0,1.0,1.0,3,211,113.0,bin 100-150
94111,Shared room,4,1.0,1.0,8.0,1,328,45.0,bin 0-50
94103,Entire home/apt,2,1.0,1.0,1.0,3,66,160.0,bin 150-200
94133,Entire home/apt,4,2.0,1.0,2.0,30,73,135.0,bin 100-150
94109,Entire home/apt,2,1.0,1.0,1.0,30,8,141.0,bin 100-150
94107,Entire home/apt,5,3.0,1.0,3.0,6,24,280.0,bin 250-300
94118,Private room,1,1.0,1.0,1.0,2,323,100.0,bin 50-100
94110,Private room,2,1.0,1.0,1.0,2,16,75.0,bin 50-100
94133,Private room,2,1.0,1.0,1.0,2,394,115.0,bin 100-150
94111,Shared room,1,1.0,1.0,8.0,1,241,45.0,bin 0-50
94111,Shared room,5,1.0,1.0,8.0,1,220,45.0,bin 0-50
94109,Entire home/apt,2,0.0,1.0,1.0,30,1,138.0,bin 100-150
94114,Private room,2,1.0,1.5,1.0,2,191,115.0,bin 100-150
94117,Entire home/apt,2,1.0,1.0,1.0,2,126,250.0,bin 200-250
94103,Entire home/apt,3,1.0,1.0,1.0,30,104,133.0,bin 100-150
94122,Shared room,1,1.0,1.5,2.0,30,134,35.0,bin 0-50
94107,Entire home/apt,4,2.0,2.0,2.0,4,33,325.0,bin 300-350
94122,Private room,2,1.0,1.0,1.0,3,87,89.0,bin 50-100
94103,Private room,1,1.0,1.0,1.0,2,57,97.0,bin 50-100
94112,Entire home/apt,3,1.0,1.0,2.0,3,367,110.0,bin 100-150
94127,Private room,4,3.0,1.5,3.0,1,35,250.0,bin 200-250
94110,Private room,1,1.0,1.0,1.0,30,95,57.0,bin 50-100
94131,Entire home/apt,2,1.0,1.0,1.0,30,210,140.0,bin 100-150
94123,Entire home/apt,2,1.0,1.0,1.0,3,26,300.0,bin 250-300
94114,Entire home/apt,4,2.0,2.0,2.0,30,3,210.0,bin 200-250
94114,Entire home/apt,8,3.0,2.0,4.0,4,17,475.0,bin 450-500
94107,Entire home/apt,2,1.0,1.0,1.0,2,192,190.0,bin 150-200
94112,Private room,2,1.0,1.0,1.0,30,18,45.0,bin 0-50
94114,Entire home/apt,4,1.0,1.0,1.0,2,174,299.0,bin 250-300
94112,Private room,1,1.0,1.0,1.0,30,15,32.0,bin 0-50
94122,Entire home/apt,4,2.0,2.0,2.0,14,207,149.0,bin 100-150
94114,Entire home/apt,2,1.0,1.0,1.0,7,62,159.0,bin 150-200
94133,Entire home/apt,4,1.0,1.0,2.0,30,110,100.0,bin 50-100
94115,Entire home/apt,6,3.0,2.5,4.0,7,42,325.0,bin 300-350
94117,Entire home/apt,4,1.0,1.0,2.0,30,15,80.0,bin 50-100
94117,Entire home/apt,2,0.0,1.0,1.0,30,27,90.0,bin 50-100
94112,Private room,1,1.0,0.5,1.0,2,79,48.0,bin 0-50
94110,Entire home/apt,4,2.0,1.0,2.0,3,126,327.0,bin 300-350
94115,Entire home/apt,2,1.0,1.0,1.0,30,33,139.0,bin 100-150
94107,Entire home/apt,2,1.0,1.0,1.0,30,6,250.0,bin 200-250
94117,Entire home/apt,6,3.0,1.0,3.0,30,112,150.0,bin 100-150
94107,Entire home/apt,2,1.0,1.0,1.0,3,78,298.0,bin 250-300
94114,Private room,1,1.0,1.0,1.0,3,194,99.0,bin 50-100
94123,Private room,3,1.0,1.0,1.0,30,127,145.0,bin 100-150
94115,Private room,1,1.0,1.0,1.0,30,3,99.0,bin 50-100
94112,Private room,2,1.0,1.0,1.0,1,42,95.0,bin 50-100
94114,Private room,2,1.0,1.0,2.0,30,19,119.0,bin 100-150
94110,Entire home/apt,4,1.0,1.0,2.0,3,35,160.0,bin 150-200
94131,Private room,2,1.0,1.0,1.0,4,152,200.0,bin 150-200
94110,Private room,1,1.0,1.0,1.0,30,40,58.0,bin 50-100
94114,Private room,2,1.0,1.0,1.0,2,388,125.0,bin 100-150
94112,Private room,2,1.0,1.0,2.0,30,20,35.0,bin 0-50
94112,Private room,2,1.0,1.0,1.0,30,27,45.0,bin 0-50
94117,Private room,2,1.0,1.0,1.0,4,23,90.0,bin 50-100
94112,Private room,2,1.0,1.0,1.0,30,0,85.0,bin 50-100
94114,Private room,2,1.0,1.5,1.0,2,124,95.0,bin 50-100
94110,Private room,1,1.0,1.0,2.0,3,115,70.0,bin 50-100
94117,Entire home/apt,2,1.0,1.0,1.0,3,294,130.0,bin 100-150
94110,Entire home/apt,6,3.0,2.5,4.0,5,13,390.0,bin 350-400
94110,Private room,2,1.0,1.0,1.0,3,184,102.0,bin 100-150
94107,Entire home/apt,2,1.0,1.0,2.0,4,128,250.0,bin 200-250
94110,Entire home/apt,4,0.0,1.0,2.0,6,398,149.0,bin 100-150
94110,Entire home/apt,4,2.0,2.0,2.0,2,35,355.0,bin 350-400
94110,Entire home/apt,4,2.0,1.5,2.0,3,92,169.0,bin 150-200
94114,Entire home/apt,5,2.0,2.0,2.0,30,130,189.0,bin 150-200
94109,Entire home/apt,2,1.0,1.0,1.0,30,23,130.0,bin 100-150
94107,Private room,2,1.0,1.0,1.0,4,151,99.0,bin 50-100
94117,Entire home/apt,2,1.0,1.0,1.0,3,106,289.0,bin 250-300
94110,Entire home/apt,4,1.0,1.0,3.0,30,22,119.0,bin 100-150
94118,Private room,4,1.0,1.5,2.0,2,227,132.0,bin 100-150
94110,Private room,1,1.0,1.5,1.0,31,12,72.0,bin 50-100
94121,Entire home/apt,2,1.0,1.0,1.0,3,225,140.0,bin 100-150
94108,Shared room,1,1.0,2.5,1.0,30,10,30.0,bin 0-50
94108,Shared room,1,1.0,2.5,1.0,30,9,30.0,bin 0-50
94121,Private room,2,1.0,2.0,1.0,2,284,123.0,bin 100-150
94114,Private room,2,1.0,1.5,1.0,2,70,116.0,bin 100-150
94114,Private room,2,1.0,1.5,1.0,1,28,109.0,bin 100-150
94114,Entire home/apt,9,4.0,1.5,5.0,1,29,350.0,bin 300-350
94102,Entire home/apt,2,1.0,1.0,1.0,30,19,250.0,bin 200-250
94122,Entire home/apt,6,2.0,2.0,4.0,4,131,324.0,bin 300-350
94131,Entire home/apt,5,3.0,2.0,4.0,30,8,190.0,bin 150-200
94117,Entire home/apt,7,1.0,1.0,5.0,30,22,70.0,bin 50-100
94122,Private room,1,1.0,1.5,1.0,30,97,57.0,bin 50-100
94117,Private room,2,1.0,3.0,1.0,2,146,89.0,bin 50-100
94115,Entire home/apt,6,3.0,1.5,4.0,3,42,425.0,bin 400-450
94112,Entire home/apt,4,2.0,2.0,3.0,6,12,225.0,bin 200-250
94117,Entire home/apt,4,1.0,1.0,4.0,30,62,100.0,bin 50-100
94116,Entire home/apt,2,1.0,0.5,1.0,2,441,160.0,bin 150-200
94110,Entire home/apt,2,1.0,1.0,0.0,3,213,145.0,bin 100-150
94133,Entire home/apt,12,4.0,2.5,4.0,1,32,499.0,bin 450-500
94103,Entire home/apt,4,2.0,1.0,3.0,3,26,280.0,bin 250-300
94103,Private room,2,1.0,1.0,1.0,1,269,125.0,bin 100-150
94112,Private room,6,3.0,1.0,4.0,2,79,90.0,bin 50-100
94110,Entire home/apt,6,3.0,2.0,4.0,4,22,230.0,bin 200-250
94110,Entire home/apt,4,2.0,1.0,2.0,2,60,195.0,bin 150-200
